"organism";"seq";"address"
"Methanobacterium formicicum";"HZ485930.1";"https://www.ncbi.nlm.nih.gov/nuccore/HZ485930.1"
"Methanobacterium formicicum";"JX141395.1";"https://www.ncbi.nlm.nih.gov/nuccore/JX141395.1"
"Methanobacterium formicicum";"JQ973735.1";"https://www.ncbi.nlm.nih.gov/nuccore/JQ973735.1"
"Methanobacterium formicicum";"NZ_LN734822.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_LN734822.1"
"Methanobacterium formicicum";"LN734822.1";"https://www.ncbi.nlm.nih.gov/nuccore/LN734822.1"
"Methanobacterium formicicum";"DQ649315.2";"https://www.ncbi.nlm.nih.gov/nuccore/DQ649315.2"
"Methanobacterium formicicum";"BBES01000001.1";"https://www.ncbi.nlm.nih.gov/nuccore/BBES01000001.1"
"Methanobacterium formicicum";"BBES01000002.1";"https://www.ncbi.nlm.nih.gov/nuccore/BBES01000002.1"
"Methanobacterium formicicum";"BBES01000003.1";"https://www.ncbi.nlm.nih.gov/nuccore/BBES01000003.1"
"Methanobacterium formicicum";"BBES01000004.1";"https://www.ncbi.nlm.nih.gov/nuccore/BBES01000004.1"
"Methanobacterium ivanovii";"EF465107.1";"https://www.ncbi.nlm.nih.gov/nuccore/EF465107.1"
"Methanobacterium ivanovii";"EF465104.1";"https://www.ncbi.nlm.nih.gov/nuccore/EF465104.1"
"Methanobacterium ivanovii";"NR_041716.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_041716.1"
"Methanobacterium ivanovii";"AB542759.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542759.1"
"Methanobacterium ivanovii";"AB542751.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542751.1"
"Methanobacterium ivanovii";"HD004144.1";"https://www.ncbi.nlm.nih.gov/nuccore/HD004144.1"
"Methanobacterium ivanovii";"HC987359.1";"https://www.ncbi.nlm.nih.gov/nuccore/HC987359.1"
"Methanobacterium ivanovii";"M62874.1";"https://www.ncbi.nlm.nih.gov/nuccore/M62874.1"
"Methanobacterium ivanovii";"AF095261.1";"https://www.ncbi.nlm.nih.gov/nuccore/AF095261.1"
"Methanobacterium ivanovii";"HB946734.1";"https://www.ncbi.nlm.nih.gov/nuccore/HB946734.1"
"Methanobacterium ivanovii";"HB929950.1";"https://www.ncbi.nlm.nih.gov/nuccore/HB929950.1"
"Methanobacterium ivanovii";"X07501.1";"https://www.ncbi.nlm.nih.gov/nuccore/X07501.1"
"Methanobacterium ivanovii";"DJ446370.1";"https://www.ncbi.nlm.nih.gov/nuccore/DJ446370.1"
"Methanobacterium ivanovii";"DJ446369.1";"https://www.ncbi.nlm.nih.gov/nuccore/DJ446369.1"
"Methanobacterium ivanovii";"X56071.1";"https://www.ncbi.nlm.nih.gov/nuccore/X56071.1"
"Methanobacterium kanagiense";"NR_112749.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_112749.1"
"Methanobacterium kanagiense";"KF882000.1";"https://www.ncbi.nlm.nih.gov/nuccore/KF882000.1"
"Methanobacterium kanagiense";"AB368917.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB368917.1"
"Methanobacterium kanagiense";"AB551870.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB551870.1"
"Methanobacterium kanagiense";"AB551869.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB551869.1"
"Methanobacterium lacus";"NC_015216.1";"https://www.ncbi.nlm.nih.gov/nuccore/NC_015216.1"
"Methanobacterium lacus";"CP002551.1";"https://www.ncbi.nlm.nih.gov/nuccore/CP002551.1"
"Methanobacterium lacus";"NR_117917.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_117917.1"
"Methanobacterium lacus";"NR_103026.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_103026.1"
"Methanobacterium lacus";"NR_103240.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_103240.1"
"Methanobacterium lacus";"HQ110085.1";"https://www.ncbi.nlm.nih.gov/nuccore/HQ110085.1"
"Methanobacterium movens";"NR_116289.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_116289.1"
"Methanobacterium movens";"HM802934.1";"https://www.ncbi.nlm.nih.gov/nuccore/HM802934.1"
"Methanobacterium movens";"EU366499.1";"https://www.ncbi.nlm.nih.gov/nuccore/EU366499.1"
"Methanobacterium movilense";"NR_133779.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_133779.1"
"Methanobacterium movilense";"JF812256.1";"https://www.ncbi.nlm.nih.gov/nuccore/JF812256.1"
"Methanobacterium oryzae";"NR_028171.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_028171.1"
"Methanobacterium oryzae";"KF882005.1";"https://www.ncbi.nlm.nih.gov/nuccore/KF882005.1"
"Methanobacterium oryzae";"AB542752.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542752.1"
"Methanobacterium oryzae";"AF028690.2";"https://www.ncbi.nlm.nih.gov/nuccore/AF028690.2"
"Methanobacterium palustre";"NR_114485.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_114485.1"
"Methanobacterium palustre";"NR_041713.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_041713.1"
"Methanobacterium palustre";"KF882001.1";"https://www.ncbi.nlm.nih.gov/nuccore/KF882001.1"
"Methanobacterium palustre";"EU293795.1";"https://www.ncbi.nlm.nih.gov/nuccore/EU293795.1"
"Methanobacterium palustre";"AB542760.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542760.1"
"Methanobacterium palustre";"AB542753.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542753.1"
"Methanobacterium palustre";"AF093061.1";"https://www.ncbi.nlm.nih.gov/nuccore/AF093061.1"
"Methanobacterium palustre";"AF095263.1";"https://www.ncbi.nlm.nih.gov/nuccore/AF095263.1"
"Methanobacterium palustre";"DQ649333.1";"https://www.ncbi.nlm.nih.gov/nuccore/DQ649333.1"
"Methanobacterium palustre";"DQ649332.1";"https://www.ncbi.nlm.nih.gov/nuccore/DQ649332.1"
"Methanobacterium petrolearium";"NR_113044.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_113044.1"
"Methanobacterium petrolearium";"KF882002.1";"https://www.ncbi.nlm.nih.gov/nuccore/KF882002.1"
"Methanobacterium petrolearium";"AB542742.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542742.1"
"Methanobacterium petrolearium";"AB542744.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542744.1"
"Methanobacterium subterraneum";"NR_028247.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_028247.1"
"Methanobacterium subterraneum";"KF882003.1";"https://www.ncbi.nlm.nih.gov/nuccore/KF882003.1"
"Methanobacterium subterraneum";"JQ268007.1";"https://www.ncbi.nlm.nih.gov/nuccore/JQ268007.1"
"Methanobacterium subterraneum";"AB542754.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542754.1"
"Methanobacterium subterraneum";"DQ649330.2";"https://www.ncbi.nlm.nih.gov/nuccore/DQ649330.2"
"Methanobacterium subterraneum";"Y12592.1";"https://www.ncbi.nlm.nih.gov/nuccore/Y12592.1"
"Methanobacterium subterraneum";"X99045.1";"https://www.ncbi.nlm.nih.gov/nuccore/X99045.1"
"Methanobacterium subterraneum";"X99044.1";"https://www.ncbi.nlm.nih.gov/nuccore/X99044.1"
"Methanobacterium thermaggregans";"AY289751.1";"https://www.ncbi.nlm.nih.gov/nuccore/AY289751.1"
"Methanobacterium thermaggregans";"AY289750.1";"https://www.ncbi.nlm.nih.gov/nuccore/AY289750.1"
"Methanobacterium thermaggregans";"NR_114486.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_114486.1"
"Methanobacterium thermaggregans";"NR_113572.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_113572.1"
"Methanobacterium thermaggregans";"NR_104880.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_104880.1"
"Methanobacterium thermaggregans";"HE654005.1";"https://www.ncbi.nlm.nih.gov/nuccore/HE654005.1"
"Methanobacterium thermaggregans";"AB679267.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB679267.1"
"Methanobacterium thermaggregans";"AF095264.1";"https://www.ncbi.nlm.nih.gov/nuccore/AF095264.1"
"Methanobacterium uliginosum";"EF465105.1";"https://www.ncbi.nlm.nih.gov/nuccore/EF465105.1"
"Methanobacterium uliginosum";"NR_104694.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_104694.1"
"Methanobacterium uliginosum";"KF882004.1";"https://www.ncbi.nlm.nih.gov/nuccore/KF882004.1"
"Methanobacterium uliginosum";"AB542761.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542761.1"
"Methanobacterium uliginosum";"AB542755.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542755.1"
"Methanobacterium uliginosum";"AB542914.1";"https://www.ncbi.nlm.nih.gov/nuccore/AB542914.1"
"Methanobacterium uliginosum";"AF095265.1";"https://www.ncbi.nlm.nih.gov/nuccore/AF095265.1"
"Methanobacterium uliginosum";"AF509455.1";"https://www.ncbi.nlm.nih.gov/nuccore/AF509455.1"
"Methanobacterium veterum";"NZ_JQJK00000000.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQJK00000000.1"
"Methanobacterium veterum";"NZ_KN050694.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_KN050694.1"
"Methanobacterium veterum";"NZ_KN050693.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_KN050693.1"
"Methanobacterium veterum";"NZ_JQJK01000018.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQJK01000018.1"
"Methanobacterium veterum";"NZ_JQJK01000017.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQJK01000017.1"
"Methanobacterium veterum";"NZ_JQJK01000016.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQJK01000016.1"
"Methanobacterium veterum";"NZ_JQJK01000015.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQJK01000015.1"
"Methanobacterium veterum";"NZ_JQJK01000014.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQJK01000014.1"
"Methanobacterium veterum";"NZ_JQJK01000009.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQJK01000009.1"
"Methanobacterium veterum";"NZ_JQJK01000008.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQJK01000008.1"
"Methanobacterium veterum";"NZ_JQJK01000004.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQJK01000004.1"
"Methanobacterium veterum";"NZ_JQJK01000003.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQJK01000003.1"
"Methanobacterium veterum";"NZ_JQJK01000002.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQJK01000002.1"
"Methanobacterium veterum";"NZ_JQJK01000001.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_JQJK01000001.1"
"Methanobacterium veterum";"EF016285.2";"https://www.ncbi.nlm.nih.gov/nuccore/EF016285.2"
"Methanobacterium veterum";"NR_115935.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_115935.1"
"Methanobacterium veterum";"KN050693.1";"https://www.ncbi.nlm.nih.gov/nuccore/KN050693.1"
"Methanobacterium veterum";"KN050694.1";"https://www.ncbi.nlm.nih.gov/nuccore/KN050694.1"
"Methanobacterium veterum";"JQJK01000001.1";"https://www.ncbi.nlm.nih.gov/nuccore/JQJK01000001.1"
"Methanobacterium veterum";"JQJK01000002.1";"https://www.ncbi.nlm.nih.gov/nuccore/JQJK01000002.1"
"Methanobrevibacter acididurans";"LF651849.1";"https://www.ncbi.nlm.nih.gov/nuccore/LF651849.1"
"Methanobrevibacter acididurans";"LF134243.1";"https://www.ncbi.nlm.nih.gov/nuccore/LF134243.1"
"Methanobrevibacter acididurans";"LF136275.1";"https://www.ncbi.nlm.nih.gov/nuccore/LF136275.1"
"Methanobrevibacter acididurans";"LG104621.1";"https://www.ncbi.nlm.nih.gov/nuccore/LG104621.1"
"Methanobrevibacter acididurans";"LG085838.1";"https://www.ncbi.nlm.nih.gov/nuccore/LG085838.1"
"Methanobrevibacter acididurans";"HZ485931.1";"https://www.ncbi.nlm.nih.gov/nuccore/HZ485931.1"
"Methanobrevibacter acididurans";"KJ155658.1";"https://www.ncbi.nlm.nih.gov/nuccore/KJ155658.1"
"Methanobrevibacter acididurans";"KJ155656.1";"https://www.ncbi.nlm.nih.gov/nuccore/KJ155656.1"
"Methanobrevibacter acididurans";"KJ155655.1";"https://www.ncbi.nlm.nih.gov/nuccore/KJ155655.1"
"Methanobrevibacter acididurans";"KJ155654.1";"https://www.ncbi.nlm.nih.gov/nuccore/KJ155654.1"
"Methanobrevibacter acididurans";"KJ155653.1";"https://www.ncbi.nlm.nih.gov/nuccore/KJ155653.1"
"Methanobrevibacter acididurans";"NR_028779.1";"https://www.ncbi.nlm.nih.gov/nuccore/NR_028779.1"
"Methanobrevibacter acididurans";"AF242652.1";"https://www.ncbi.nlm.nih.gov/nuccore/AF242652.1"
"Methanobrevibacter arboriphilus";"LF651850.1";"https://www.ncbi.nlm.nih.gov/nuccore/LF651850.1"
"Methanobrevibacter arboriphilus";"JQ346749.1";"https://www.ncbi.nlm.nih.gov/nuccore/JQ346749.1"
"Methanobrevibacter arboriphilus";"LF134244.1";"https://www.ncbi.nlm.nih.gov/nuccore/LF134244.1"
"Methanobrevibacter arboriphilus";"LF136276.1";"https://www.ncbi.nlm.nih.gov/nuccore/LF136276.1"
"Methanobrevibacter arboriphilus";"AF414035.1";"https://www.ncbi.nlm.nih.gov/nuccore/AF414035.1"
"Methanobrevibacter arboriphilus";"LG104622.1";"https://www.ncbi.nlm.nih.gov/nuccore/LG104622.1"
"Methanobrevibacter arboriphilus";"LG085839.1";"https://www.ncbi.nlm.nih.gov/nuccore/LG085839.1"
"Methanobrevibacter arboriphilus";"HZ485932.1";"https://www.ncbi.nlm.nih.gov/nuccore/HZ485932.1"
"Methanobrevibacter arboriphilus";"NZ_BBBD00000000.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BBBD00000000.1"
"Methanobrevibacter arboriphilus";"NZ_BBBD01000629.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BBBD01000629.1"
"Methanobrevibacter arboriphilus";"NZ_BBBD01000628.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BBBD01000628.1"
"Methanobrevibacter arboriphilus";"NZ_BBBD01000627.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BBBD01000627.1"
"Methanobrevibacter arboriphilus";"NZ_BBBD01000626.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BBBD01000626.1"
"Methanobrevibacter arboriphilus";"NZ_BBBD01000625.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BBBD01000625.1"
"Methanobrevibacter arboriphilus";"NZ_BBBD01000624.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BBBD01000624.1"
"Methanobrevibacter arboriphilus";"NZ_BBBD01000623.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BBBD01000623.1"
"Methanobrevibacter arboriphilus";"NZ_BBBD01000622.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BBBD01000622.1"
"Methanobrevibacter arboriphilus";"NZ_BBBD01000621.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BBBD01000621.1"
"Methanobrevibacter arboriphilus";"NZ_BBBD01000620.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BBBD01000620.1"
"Methanobrevibacter arboriphilus";"NZ_BBBD01000619.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BBBD01000619.1"
"Methanobrevibacter boviskoreani";"NZ_BAGX00000000.2";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAGX00000000.2"
"Methanobrevibacter boviskoreani";"NZ_BAGX02000054.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAGX02000054.1"
"Methanobrevibacter boviskoreani";"NZ_BAGX02000053.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAGX02000053.1"
"Methanobrevibacter boviskoreani";"NZ_BAGX02000052.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAGX02000052.1"
"Methanobrevibacter boviskoreani";"NZ_BAGX02000051.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAGX02000051.1"
"Methanobrevibacter boviskoreani";"NZ_BAGX02000050.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAGX02000050.1"
"Methanobrevibacter boviskoreani";"NZ_BAGX02000049.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAGX02000049.1"
"Methanobrevibacter boviskoreani";"NZ_BAGX02000048.1";"https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAGX02000048.1"
